"Country","Year","Access.to.electricity....of.population.","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net..BoP..current.US..","Foreign.direct.investment..net.inflows....of.GDP.","Foreign.direct.investment..net.outflows....of.GDP.","Foreign.direct.investment..net.outflows..BoP..current.US..","Forest.area....of.land.area.","Forest.area..sq..km.","GDP..current.US..","GDP.per.capita..current.US..","GDP..PPP..current.international...","High.technology.exports..current.US..","Households.and.NPISHs.Final.consumption.expenditure..PPP..current.international...","Immunization..DPT....of.children.ages.12.23.months.","Immunization..measles....of.children.ages.12.23.months.","Immunization..HepB3....of.one.year.old.children.","Individuals.using.the.Internet....of.population.","Inflation..consumer.prices..annual...","Life.expectancy.at.birth..total..years.","Mortality.rate..infant..per.1.000.live.births.","Military.expenditure....of.GDP.","Military.expenditure..current.USD.","Net.migration","People.using.at.least.basic.sanitation.services....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","Proportion.of.seats.held.by.women.in.national.parliaments....","Total.greenhouse.gas.emissions.excluding.LULUCF.per.capita..t.CO2e.capita.","Tuberculosis.treatment.success.rate....of.new.cases.","Voice.and.Accountability..Percentile.Rank","Women.Business.and.the.Law.Index.Score..scale.1.100.","Educational.attainment..at.least.completed.upper.secondary..population.25...total......cumulative.","Government.expenditure.on.education..total....of.GDP.","Government.expenditure.on.education..total....of.government.expenditure.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.population....","Unemployment..total....of.total.labor.force...national.estimate.","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","Tax.Rate"
"Ecuador",2021,100,58.609,-648567150.926887,0.603682730215786,0,0,50.0626509904977,124335.6,107435101000,6075.8026572556,239415314251.538,77485367,141281010022.718,72,65,68,70.2073,0.133251386096389,73.67,10.8,2.26891193069531,2408810000,-28503,91.7426911861146,95.6779995112767,39.4160583941606,3.88100543058107,69,51.6908226,89.375,45.4300003051758,3.64776992797852,9.75601005554199,37.3,4.504,5.435,9.275,0.786,69,0.821,-0.086,0.775,0.742,0.403,25
"Ecuador",2022,100,56.981,-880294803.529517,0.755059961772552,0,0,49.8038734095668,123692.9,116586079000,6540.99824522101,272350863890.038,124665033,161372829185.478,70,74,70,69.7181,3.46616972213077,77.894,10.5,2.24815513389947,2586480000,-23090,92.2725010923607,95.7033432314017,38.6861313868613,3.96457632132861,71,48.79227066,89.375,45.3800010681152,3.59897994995117,9.2932596206665,36.9,3.713,5.887,9.293,0.825,69.25,0.759,-0.083,0.866,0.777,0.356,25
"Ecuador",2023,NA,NA,-383006348.523188,0.3222743146792,0,0,NA,NA,118844826000,6609.80408154957,288796387387.075,106992254,167547654551.966,70,74,70,72.6943,2.21568764237058,NA,NA,2.29706957855181,2726300000,-21948,NA,NA,43.0656934306569,4.09367409483037,NA,44.11764526,89.375,NA,3.89365005493164,9.69493961334229,NA,3.51,5.852,9.307,0.782,69.5,0.731,-0.106,0.84,0.763,0.359,25
"Egypt",2020,100,43.848,-5525300000,1.52462948997172,0.0850663946949257,326500000,0.0451855944547692,449.8,383817841547.099,3511.11381026379,1665073256894.19,347931933,1263441891017.08,94,94,94,71.9142,5.04493288977539,70.99,16.6,1.12247550332399,4505374644.32501,6016,97.5215610615812,98.7671898041778,27.4111675126904,2.80622743473264,89,7.729468822,45,52.6025886535645,NA,NA,27.3,7.974,4.472,9.392,0.673,63.25,0.77,-0.119,NA,0.543,0.442,22.5
"Egypt",2021,100,41.901,-4755300000,1.20617861055665,0.0864196845312242,3.67e+08,0.0451855944547692,449.8,424671765455.704,3827.35415374308,1728601012503.64,645859214,1392798397520.44,96,96,96,72.056,5.21404940513043,70.221,16,1.12200927143154,5165445626.55285,6161,97.5246503198928,98.7679087029408,27.7027027027027,2.99490772137619,88,8.212560654,50.625,51.7875480651855,NA,NA,28.5,7.441,4.026,9.408,0.717,63.5,0.704,-0.233,0.58,0.387,0.325,22.5
"Egypt",2022,100,41.852,-11058100000,2.39118080969079,0.07169410264584,341800000,0.0451855944547692,449.8,476747720364.742,4233.30783744856,1973837735890.75,766542713,1491561227240.49,97,96,97,72.1981,13.8956609775178,70.159,15.5,1.04848151432161,4645922047.5088,13707,97.5287500099944,98.76885789947,27.580372250423,2.9599456571204,87,9.178744316,50.625,54.3136596679688,NA,NA,29.8,7.344,4.024,9.456,0.769,63.75,0.733,-0.214,NA,0.486,0.307,22.5
"Egypt",2023,NA,NA,-9450200000,2.48498433081233,0.0985852369519269,390400000,NA,NA,396002496996.96,3457.45691570455,2121724462116.86,697613295,1503272709095.57,96,96,96,NA,33.8847763115546,NA,NA,0.870565509711049,3164630286.97457,305006,NA,NA,27.5337837837838,2.93330192073093,NA,10.78431416,50.625,NA,NA,NA,NA,6.753,3.881,9.48,0.73,64,0.625,-0.21,NA,0.436,0.352,22.5
"El Salvador",2020,99.7,56.865,-2775428.3578769,1.55101998611343,1.53988316496694,383757209.319425,28.1795366795367,5838.8,24921190000,3997.19279583709,58560345367.2006,228122461,40742750936.8683,89,84,89,54.6014,-0.371590212324095,71.061,11,1.37945779018632,343900000,-25213,87.1219856405385,98.0305089627303,33.3333333333333,1.79895561483337,89,50.72463608,88.75,34.3899993896484,3.66088008880615,11.8684911727905,46.5,5.008,5.462,9.023,0.696,65.25,0.924,-0.132,0.583,0.811,0.329,30
"El Salvador",2021,97.9,56.143,-373371287.640001,2.7560499827498,1.47047518732479,427072167.32,27.9623552123552,5793.8,29043140000,4642.60743101342,67623210509.8633,348626313,47937992653.9762,97,97,97,58.5986,3.46692585313082,70.748,10.6,1.1937626515235,351578000,-27343,87.3915065689454,98.1944683010115,27.3809523809524,1.93534557310341,88,45.41062927,88.75,35.0200004577637,3.57766008377075,11.9613590240479,48.4,4.327,6.431,9.126,0.796,65.6,0.915,-0.085,0.663,0.826,0.29,30
"El Salvador",2022,100,54.881,-141595476.572317,0.0320261812840187,-0.410612946802571,-131350647.062317,27.7451737451737,5748.8,31988920000,5093.51833879776,74472512970.0014,414452908,54554925988.4547,95,80,95,62.8885,7.19861615609867,71.475,10.2,1.41124078153785,458494000,-23255,87.5527837523229,98.5931599892378,27.3809523809524,1.99397514680385,86,36.71497726,88.75,35.9500007629395,3.25634002685547,NA,46.9,2.999,6.492,9.148,0.772,65.95,0.914,-0.116,0.621,0.823,0.296,30
